ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	PHRASE
419	Latin	Adon	Adon	Adon	a d o n		210	Adon non Adonius
420	VulgarLatin	Adon	Adonius	Adonius	a d o n i u s		210	Adon non Adonius
95	Latin	Byzacenus	Byzacenus	Byzacenus	b j z a k e n u s		48	Byzacenus non Bizacinus
96	VulgarLatin	Byzacenus	Bizacinus	Bizacinus	b i z a k i n u s		48	Byzacenus non Bizacinus
97	Latin	Capse[n]sis	Capse[n]sis	Capse[n]sis	k a p s e n s i s		49	Capse[n]sis non Capressis
98	VulgarLatin	Capse[n]sis	Capressis	Capressis	k a p r e sː i s		49	Capse[n]sis non Capressis
409	Latin	Februarius	Februarius	Februarius	f e b r u a r i u s		205	Februarius non Febrarius
410	VulgarLatin	Februarius	Febrarius	Febrarius	f e b r a r i u s		205	Februarius non Febrarius
123	Latin	Flavus	Flavus	Flavus	f l a v u s		62	Flavus non Flaus
124	VulgarLatin	Flavus	Flaus	Flaus	f l au s		62	Flavus non Flaus
37	Latin	Hercules	Hercules	Hercules	h e r k u l e s		19	Hercules non Herculens
38	VulgarLatin	Hercules	Herculens	Herculens	h e r k u l e n s		19	Hercules non Herculens
33	Latin	Marsias	Marsias	Marsias	m a r s i a s		17	Marsias non Marsuas
34	VulgarLatin	Marsias	Marsuas	Marsuas	m a r s u a s		17	Marsias non Marsuas
399	Latin	Sirena	Sirena	Sirena	s i r e n a		200	Sirena non Serena
400	VulgarLatin	Sirena	Serena	Serena	s e r e n a		200	Sirena non Serena
211	Latin	Syrtes	Syrtes	Syrtes	s j r t e s		106	Syrtes non Syrtis
212	VulgarLatin	Syrtes	Syrtis	Syrtis	s j r t i s		106	Syrtes non Syrtis
91	Latin	Theophilus	Theophilus	Theophilus	tʰ e o pʰ i l u s		46	Theophilus non Izophilus
92	VulgarLatin	Theophilus	Izophilus	Izophilus	i z o pʰ i l u s		46	Theophilus non Izophilus
101	Latin	[catulus	[catulus	[catulus	k a t u l u s		51	[catulus non ca&lt;te&gt;llus]
102	VulgarLatin	[catulus	ca<te>llus]	ca<te>llus]	k a t e lː u s		51	[catulus non ca&lt;te&gt;llus]
313	Latin	a< >	a< >	a<_>	a		157	a&lt; &gt; non &lt; &gt;a
314	VulgarLatin	a< >	< >a	<_>a	a		157	a&lt; &gt; non &lt; &gt;a
81	Latin	acre	acre	acre	a k r e		41	acre non acrum
82	VulgarLatin	acre	acrum	acrum	a k r u m		41	acre non acrum
443	Latin	adhuc	adhuc	adhuc	a d h u k		222	adhuc non aduc
