ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Phrase,Phrase_ID
Latin-1_porphireticummarmor-1,,Latin,1_porphireticummarmor,porphireticum marmor,porphireticum_marmor,p o r pʰ i r e t i k u m + m a r m o r,,appendixprobi,1,,^ p o r ph i r e t i c u m _ m a r m o r $,default,porphireticum marmor non purpureticum marmur,1
VulgarLatin-1_porphireticummarmor-1,,VulgarLatin,1_porphireticummarmor,purpureticum marmur,purpureticum_marmur,p u r p u r e t i k u m + m a r m u r,,appendixprobi,1,,^ p u r p u r e t i c u m _ m a r m u r $,default,porphireticum marmor non purpureticum marmur,1
Latin-2_tolonium-1,,Latin,2_tolonium,tolonium,tolonium,t o l o n i u m,,appendixprobi,2,,^ t o l o n i u m $,default,tolonium non toloneum,2
VulgarLatin-2_tolonium-1,,VulgarLatin,2_tolonium,toloneum,toloneum,t o l o n e u m,,appendixprobi,2,,^ t o l o n eu m $,default,tolonium non toloneum,2
Latin-3_speculum-1,,Latin,3_speculum,speculum,speculum,s p e k u l u m,,appendixprobi,3,,^ s p e c u l u m $,default,speculum non speclum,3
VulgarLatin-3_speculum-1,,VulgarLatin,3_speculum,speclum,speclum,s p e k l u m,,appendixprobi,3,,^ s p e c l u m $,default,speculum non speclum,3
Latin-4_masculus-1,,Latin,4_masculus,masculus,masculus,m a s k u l u s,,appendixprobi,4,,^ m a s c u l u s $,default,masculus non masclus,4
VulgarLatin-4_masculus-1,,VulgarLatin,4_masculus,masclus,masclus,m a s k l u s,,appendixprobi,4,,^ m a s c l u s $,default,masculus non masclus,4
Latin-5_vetulus-1,,Latin,5_vetulus,vetulus,vetulus,v e t u l u s,,appendixprobi,5,,^ v e t u l u s $,default,vetulus non veclus,5
VulgarLatin-5_vetulus-1,,VulgarLatin,5_vetulus,veclus,veclus,v e k l u s,,appendixprobi,5,,^ v e c l u s $,default,vetulus non veclus,5
Latin-6_vitulus-1,,Latin,6_vitulus,vitulus,vitulus,v i t u l u s,,appendixprobi,6,,^ v i t u l u s $,default,vitulus non viclus,6
VulgarLatin-6_vitulus-1,,VulgarLatin,6_vitulus,viclus,viclus,v i k l u s,,appendixprobi,6,,^ v i c l u s $,default,vitulus non viclus,6
