ID,Name,Concepticon_ID,Concepticon_Gloss
1_porphireticummarmor,porphireticum marmor,,
2_tolonium,tolonium,,
3_speculum,speculum,,
4_masculus,masculus,,
5_vetulus,vetulus,,
6_vitulus,vitulus,,
7_vernaculus,vernaculus,,
8_articulus,articulus,,
9_baculus,baculus,,
10_angulus,angulus,,
11_iugulus,iugulus,,
12_calcostegis,calcostegis,,
13_septizonium,septizonium,,
14_vacua,vacua,,
15_vacui,vacui,,
16_cultellum,cultellum,,
17_marsias,Marsias,,
18_cannelam,cannelam,,
19_hercules,Hercules,,
20_columna,columna,,
21_pecten,pecten,,
22_aquaeductus,aquaeductus,,
23_cithara,cithara,,
24_crista,crista,,
25_formica,formica,,
26_musivum,musivum,,
27_exequiae,exequiae,,
28_gyrus,gyrus,,
29_avus,avus,,
30_miles,miles,,
31_sobrius,sobrius,,
32_figulus,figulus,,
33_masculus,masculus,,
34_lanius,lanius,,
35_iuvencus,iuvencus,,
36_barbarus,barbarus,,
37_equs,equs,,
38_coqus,coqus,,
39_coquens,coquens,,
40_coqui,coqui,,
41_acre,acre,,
42_paupermulier,pauper mulier,,
43_carcer,carcer,,
44_bravium,bravium,,
45_pancarpus,pancarpus,,
46_theophilus,Theophilus,,
47_monofagia,monofagia,,
48_byzacenus,Byzacenus,,
49_capsensis,Capse[n]sis,,
50_catulus,catulus,,
51_catulus,[catulus,,
52_doleus,doleus,,
53_calida,calida,,
54_frigida,frigida,,
55_vinea,vinea,,
56_tristis,tristis,,
57_tersus,tersus,,
58_umbilicus,umbilicus,,
59_turma,turma,,
60_caelebs,caelebs,,
61_ostium,ostium,,
62_flavus,Flavus,,
63_cavea,cavea,,
64_senatus,senatus,,
65_brattea,brattea,,
66_cochlea,cochlea,,
67_cochleare,cochleare,,
68_palearium,palearium,,
69_primipilaris,primipilaris,,
70_alveus,alveus,,
71_glomus,glomus,,
72_lancea,lancea,,
73_favilla,favilla,,
74_orbis,orbis,,
75_formosus,formosus,,
76_ansa,ansa,,
77_flagellum,flagellum,,
78_calatus,calatus,,
79_digitus,digitus,,
80_solea,solea,,
81_calceus,calceus,,
82_iecur,iecur,,
83_auris,auris,,
84_camera,camera,,
85_pegma,pegma,,
86_cloaca,cloaca,,
87_festuca,festuca,,
88_ales,ales,,
89_facies,facies,,
90_cautes,cautes,,
91_plebes,plebes,,
92_vates,vates,,
93_tabes,tabes,,
94_suppellex,suppellex,,
95_apes,apes,,
96_nubes,nubes,,
97_suboles,suboles,,
